#,Set,Cue,Location,Descrip,Item
1,B,Cued,Above,HighFQ,walls 
2,B,Cued,Above,HighFQ,paper 
3,B,Cued,Above,HighFQ,dog 
4,B,Cued,Above,HighFQ,friends 
5,B,Cued,Above,HighFQ,glass 
6,B,Cued,Above,HighFQ,water 
7,B,Cued,Above,HighFQ,college 
8,B,Cued,Above,HighFQ,garden 
9,B,Cued,Above,HighFQ,world 
10,B,Cued,Above,HighFQ,office 
11,B,Cued,Above,HighFQ,oil 
12,B,Cued,Above,HighFQ,home 
13,B,Cued,Above,HighFQ,town 
14,B,Cued,Above,HighFQ,license 
15,B,Cued,Above,HighFQ,seeds 
16,B,Cued,Above,HighFQ,trees 
17,B,Cued,Above,LowFQ,silo 
18,B,Cued,Above,LowFQ,wharf 
19,B,Cued,Above,LowFQ,gem 
20,B,Cued,Above,LowFQ,trinket 
21,B,Cued,Above,LowFQ,maggots 
22,B,Cued,Above,LowFQ,crate 
23,B,Cued,Above,LowFQ,haddock 
24,B,Cued,Above,LowFQ,weasel 
25,B,Cued,Above,LowFQ,baron 
26,B,Cued,Above,LowFQ,rafter 
27,B,Cued,Above,LowFQ,beaker 
28,B,Cued,Above,LowFQ,pan 
29,B,Cued,Above,LowFQ,pebbles 
30,B,Cued,Above,LowFQ,tunic 
31,B,Cued,Above,LowFQ,banjo 
32,B,Cued,Above,LowFQ,kelp 
33,B,Cued,Above,Nonword,burif
34,B,Cued,Above,Nonword,bines
35,B,Cued,Above,Nonword,vellast
36,B,Cued,Above,Nonword,riteng 
37,B,Cued,Above,Nonword,cag
38,B,Cued,Above,Nonword,doot
39,B,Cued,Above,Nonword,mathir
40,B,Cued,Above,Nonword,turpado 
41,B,Cued,Above,Nonword,quirtz 
42,B,Cued,Above,Nonword,senipor
43,B,Cued,Above,Nonword,whurf 
44,B,Cued,Above,Nonword,coasin
45,B,Cued,Above,Nonword,bigfur
46,B,Cued,Above,Nonword,budis
47,B,Cued,Above,Nonword,strent
48,B,Cued,Above,Nonword,patice
49,B,Cued,Above,Nonword,sible 
50,B,Cued,Above,Nonword,gizalle
51,B,Cued,Above,Nonword,kev
52,B,Cued,Above,Nonword,grish
53,B,Cued,Above,Nonword,mulin 
54,B,Cued,Above,Nonword,coffet
55,B,Cued,Above,Nonword,nyluf 
56,B,Cued,Above,Nonword,tawn
57,B,Cued,Above,Nonword,gom
58,B,Cued,Above,Nonword,tonsue
59,B,Cued,Above,Nonword,redit
60,B,Cued,Above,Nonword,teent
61,B,Cued,Above,Nonword,rucoan 
62,B,Cued,Above,Nonword,ravit 
63,B,Cued,Above,Nonword,rivene 
64,B,Cued,Above,Nonword,wirlf
65,C,Uncued,Above,HighFQ,fire 
66,C,Uncued,Above,HighFQ,feet 
67,C,Uncued,Above,HighFQ,door 
68,C,Uncued,Above,HighFQ,machine 
69,C,Uncued,Above,HighFQ,horse 
70,C,Uncued,Above,HighFQ,tongue 
71,C,Uncued,Above,HighFQ,kitchen 
72,C,Uncued,Above,HighFQ,senator 
73,C,Uncued,Above,HighFQ,captain 
74,C,Uncued,Above,HighFQ,blood 
75,C,Uncued,Above,HighFQ,mother 
76,C,Uncued,Above,HighFQ,street 
77,C,Uncued,Above,HighFQ,letter 
78,C,Uncued,Above,HighFQ,plants 
79,C,Uncued,Above,HighFQ,cousin 
80,C,Uncued,Above,HighFQ,valley 
81,C,Uncued,Above,LowFQ,parcel 
82,C,Uncued,Above,LowFQ,sod 
83,C,Uncued,Above,LowFQ,dime 
84,C,Uncued,Above,LowFQ,pew 
85,C,Uncued,Above,LowFQ,thugs 
86,C,Uncued,Above,LowFQ,nylon 
87,C,Uncued,Above,LowFQ,pecan 
88,C,Uncued,Above,LowFQ,ravine 
89,C,Uncued,Above,LowFQ,hearse 
90,C,Uncued,Above,LowFQ,cashews 
91,C,Uncued,Above,LowFQ,rivet 
92,C,Uncued,Above,LowFQ,cleat 
93,C,Uncued,Above,LowFQ,reels 
94,C,Uncued,Above,LowFQ,beets 
95,C,Uncued,Above,LowFQ,hornets 
96,C,Uncued,Above,LowFQ,felon 
97,C,Uncued,Above,Nonword,riddur 
98,C,Uncued,Above,Nonword,nival 
99,C,Uncued,Above,Nonword,jawels
100,C,Uncued,Above,Nonword,reftar 
101,C,Uncued,Above,Nonword,beebs
102,C,Uncued,Above,Nonword,binji
103,C,Uncued,Above,Nonword,shict 
104,C,Uncued,Above,Nonword,sketes 
105,C,Uncued,Above,Nonword,glust
106,C,Uncued,Above,Nonword,frundis
107,C,Uncued,Above,Nonword,lethir
108,C,Uncued,Above,Nonword,cushows
109,C,Uncued,Above,Nonword,trene
110,C,Uncued,Above,Nonword,hurnits
111,C,Uncued,Above,Nonword,squort
112,C,Uncued,Above,Nonword,han
113,C,Uncued,Above,Nonword,guskit
114,C,Uncued,Above,Nonword,anivils
115,C,Uncued,Above,Nonword,fuet
116,C,Uncued,Above,Nonword,enguin
117,C,Uncued,Above,Nonword,yalfow
118,C,Uncued,Above,Nonword,ool
119,C,Uncued,Above,Nonword,garpin
120,C,Uncued,Above,Nonword,lipel 
121,C,Uncued,Above,Nonword,melf 
122,C,Uncued,Above,Nonword,hame
123,C,Uncued,Above,Nonword,soquin 
124,C,Uncued,Above,Nonword,elp
125,C,Uncued,Above,Nonword,pircal 
126,C,Uncued,Above,Nonword,teeshir
127,C,Uncued,Above,Nonword,pupir
128,C,Uncued,Above,Nonword,plints
129,D,Cued,Below,HighFQ,money 
130,D,Cued,Below,HighFQ,bills 
131,D,Cued,Below,HighFQ,square 
132,D,Cued,Below,HighFQ,coffee 
133,D,Cued,Below,HighFQ,cattle 
134,D,Cued,Below,HighFQ,yellow 
135,D,Cued,Below,HighFQ,grass 
136,D,Cued,Below,HighFQ,plane 
137,D,Cued,Below,HighFQ,bones 
138,D,Cued,Below,HighFQ,heart 
139,D,Cued,Below,HighFQ,shoes 
140,D,Cued,Below,HighFQ,man 
141,D,Cued,Below,HighFQ,car 
142,D,Cued,Below,HighFQ,radio 
143,D,Cued,Below,HighFQ,growths 
144,D,Cued,Below,HighFQ,market 
145,D,Cued,Below,LowFQ,hanger 
146,D,Cued,Below,LowFQ,ladle 
147,D,Cued,Below,LowFQ,retina 
148,D,Cued,Below,LowFQ,sequin 
149,D,Cued,Below,LowFQ,ferns 
150,D,Cued,Below,LowFQ,rudder 
151,D,Cued,Below,LowFQ,elk 
152,D,Cued,Below,LowFQ,gasket 
153,D,Cued,Below,LowFQ,lapel 
154,D,Cued,Below,LowFQ,quartz 
155,D,Cued,Below,LowFQ,torpedo 
156,D,Cued,Below,LowFQ,freckle 
157,D,Cued,Below,LowFQ,shack 
158,D,Cued,Below,LowFQ,snail 
159,D,Cued,Below,LowFQ,armpit 
160,D,Cued,Below,LowFQ,raccoon 
161,D,Cued,Below,Nonword,pilvus 
162,D,Cued,Below,Nonword,crefe
163,D,Cued,Below,Nonword,tanic 
164,D,Cued,Below,Nonword,michane
165,D,Cued,Below,Nonword,bloof
166,D,Cued,Below,Nonword,kalf
167,D,Cued,Below,Nonword,rebits 
168,D,Cued,Below,Nonword,cothin
169,D,Cued,Below,Nonword,pon 
170,D,Cued,Below,Nonword,cathain
171,D,Cued,Below,Nonword,ificle
172,D,Cued,Below,Nonword,hengar
173,D,Cued,Below,Nonword,miggets 
174,D,Cued,Below,Nonword,pline
175,D,Cued,Below,Nonword,lufle
176,D,Cued,Below,Nonword,hoart
177,D,Cued,Below,Nonword,sneel 
178,D,Cued,Below,Nonword,hudduck 
179,D,Cued,Below,Nonword,walis
180,D,Cued,Below,Nonword,fure
181,D,Cued,Below,Nonword,witur
182,D,Cued,Below,Nonword,bueker
183,D,Cued,Below,Nonword,irmpat
184,D,Cued,Below,Nonword,fulin
185,D,Cued,Below,Nonword,valbey
186,D,Cued,Below,Nonword,mirkat
187,D,Cued,Below,Nonword,sedis
188,D,Cued,Below,Nonword,islunt
189,D,Cued,Below,Nonword,checkat
190,D,Cued,Below,Nonword,pabbles 
191,D,Cued,Below,Nonword,moath
192,D,Cued,Below,Nonword,trustle 
193,A,Uncued,Below,HighFQ,window 
194,A,Uncued,Below,HighFQ,forest 
195,A,Uncued,Below,HighFQ,island 
196,A,Uncued,Below,HighFQ,mouth 
197,A,Uncued,Below,HighFQ,bread 
198,A,Uncued,Below,HighFQ,key 
199,A,Uncued,Below,HighFQ,cotton 
200,A,Uncued,Below,HighFQ,teeth 
201,A,Uncued,Below,HighFQ,engine 
202,A,Uncued,Below,HighFQ,floor 
203,A,Uncued,Below,HighFQ,palace 
204,A,Uncued,Below,HighFQ,animals 
205,A,Uncued,Below,HighFQ,teacher 
206,A,Uncued,Below,HighFQ,village 
207,A,Uncued,Below,HighFQ,birds 
208,A,Uncued,Below,HighFQ,chicken 
209,A,Uncued,Below,LowFQ,robots 
210,A,Uncued,Below,LowFQ,sable 
211,A,Uncued,Below,LowFQ,pelvis 
212,A,Uncued,Below,LowFQ,icicle 
213,A,Uncued,Below,LowFQ,cloak 
214,A,Uncued,Below,LowFQ,lobster 
215,A,Uncued,Below,LowFQ,jewels 
216,A,Uncued,Below,LowFQ,trestle 
217,A,Uncued,Below,LowFQ,gazelle 
218,A,Uncued,Below,LowFQ,skates 
219,A,Uncued,Below,LowFQ,lava 
220,A,Uncued,Below,LowFQ,melon 
221,A,Uncued,Below,LowFQ,scallop 
222,A,Uncued,Below,LowFQ,beggar 
223,A,Uncued,Below,LowFQ,navel 
224,A,Uncued,Below,LowFQ,malt 
225,A,Uncued,Below,Nonword,lovi 
226,A,Uncued,Below,Nonword,thaft 
227,A,Uncued,Below,Nonword,wousel 
228,A,Uncued,Below,Nonword,sid 
229,A,Uncued,Below,Nonword,calligy
230,A,Uncued,Below,Nonword,picen 
231,A,Uncued,Below,Nonword,ketchan
232,A,Uncued,Below,Nonword,trenkit 
233,A,Uncued,Below,Nonword,grawths
234,A,Uncued,Below,Nonword,deme
235,A,Uncued,Below,Nonword,bilts
236,A,Uncued,Below,Nonword,offesh
237,A,Uncued,Below,Nonword,libstur
238,A,Uncued,Below,Nonword,claek
239,A,Uncued,Below,Nonword,fow 
240,A,Uncued,Below,Nonword,furist
