#,Set,Cue,Location,Descrip,Item
1,Practice,Cued,Above,P-Word,collar
2,Practice,Cued,Above,P-Word,garage
3,Practice,Cued,Above,P-Word,parent
4,Practice,Cued,Above,P-NonWord,lusper
5,Practice,Cued,Above,P-NonWord,vessive
6,Practice,Cued,Above,P-NonWord,vunt
7,Practice,Cued,Below,P-Word,prince
8,Practice,Cued,Below,P-Word,cement
9,Practice,Cued,Below,P-Word,found
10,Practice,Cued,Below,P-NonWord,hasp
11,Practice,Cued,Below,P-NonWord,drack
12,Practice,Cued,Below,P-NonWord,scardal
13,Practice,Uncued,Above,P-Word,exam
14,Practice,Uncued,Above,P-Word,intent
15,Practice,Uncued,Above,P-Word,sandal
16,Practice,Uncued,Above,P-NonWord,tashy
17,Practice,Uncued,Above,P-NonWord,tromor
18,Practice,Uncued,Above,P-NonWord,marp
19,Practice,Uncued,Below,P-Word,rodent
20,Practice,Uncued,Below,P-Word,student
21,Practice,Uncued,Below,P-Word,cigar
22,Practice,Uncued,Below,P-NonWord,zawn
23,Practice,Uncued,Below,P-NonWord,tyloon
24,Practice,Uncued,Below,P-NonWord,thocket
